certificate_id,film_name,cut_no,description,deleted_secs,replaced_secs,inserted_secs,total_modified_time_secs
100010842200012464,VISION MEDIA - MUMBAI,12,"Deleted the Visual of Shrashti forcing malay. TCR- 01:34:08, Deleted Length- 05 Seconds",5.0,0.0,0.0,5.0
100010842200012464,VISION MEDIA - MUMBAI,13,"Deleted the Visual with Dialogue (Malay is speaking with savitri) Har jism ki naa.usme khonaa chahta hain TCR- 01:35:29, Deleted Length- 25 Seconds",25.0,0.0,0.0,25.0
100010842200012464,VISION MEDIA - MUMBAI,14,"Deleted the Visual with Dialogue (Malay misbehaves with an old woman) Le khana khaa.Khaa khaake marja TCR- 01:38:09, Deleted Length- 32 Seconds",32.0,0.0,0.0,32.0
100010842200011673,PRINCE PICTURES - CHENNAI,1,Deleted the Tamil Song No. 1 Dei Manchan Dev 00:14:30:08 00:17:10:21,161.0,0.0,0.0,161.0
100010842200011673,PRINCE PICTURES - CHENNAI,2,Deleted the Tamil Song No. 2 She is my Girl 00:45:28:02 00:47:29:17,121.0,0.0,0.0,121.0
100010842200011673,PRINCE PICTURES - CHENNAI,3,Deleted the Tamil Song No. 3 Oru Nooru Murai 01:26:14:18 01:28:43:06,148.0,0.0,0.0,148.0
100010842200011673,PRINCE PICTURES - CHENNAI,4,Deleted the Tamil Song No. 4 Cheliya Adugud Hama 01:42:07:20 01:44:52:15,165.0,0.0,0.0,165.0
100010842200011673,PRINCE PICTURES - CHENNAI,5,Deleted the Tamil Song No. 5 Engade Nee Panae 02:03:31:21 02:06:48:20,197.0,0.0,0.0,197.0
100010842200011673,PRINCE PICTURES - CHENNAI,6,Deleted the End Title 02:22:06:03 02:24:00:09,136.0,0.0,0.0,136.0
100030842200003005,MUGIL PETE,1,Deleted the visuals of Song 1 00.08.35 to 00.11.55,200.0,0.0,0.0,200.0
100030842200003005,MUGIL PETE,2,Deleted the visuals of Song 2 00.19.01 to 00.22.23,203.0,0.0,0.0,203.0
100030842200003005,MUGIL PETE,3,Deleted the visuals of Song 3 00.45.27 to 00.47.52,146.0,0.0,0.0,146.0
100030842200003005,MUGIL PETE,4,Deleted the visuals of Song 4 01.01.26 to 01.02.52,86.0,0.0,0.0,86.0
100030842200003005,MUGIL PETE,5,Deleted the visuals of Song 5 01.10.03 to 01.12.30,146.0,0.0,0.0,146.0
100030842200003005,MUGIL PETE,6,Deleted the visuals of Song 6 01.52.08 to 01.55.10,183.0,0.0,0.0,183.0
100010842200012115,GOVINDA NAAM MERA.,1,Muted the word Nimbuich at TCR: 00.10.32.07,0.0,0.0,0.0,0.0
100010842200012115,GOVINDA NAAM MERA.,2,Muted the word Dono at TCR: 00.27.52..07,0.0,0.0,0.0,0.0
100010842200012115,GOVINDA NAAM MERA.,3,Muted the word Bhosidke at TCR: 00.33.01.30,0.0,0.0,0.0,0.0
100010842200012115,GOVINDA NAAM MERA.,4,Muted the word Position and Replaced it by Number at TCR: 01.13.16.07,0.0,0.0,0.0,0.0
100010842200012115,GOVINDA NAAM MERA.,5,Muted the word Sex and Replaced it by Khush at TCR: 01.29.02.21,0.0,0.0,0.0,0.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,1,00:03:55 to 00:05:38 Deleted starting scene of Hospital and scene in which Dighya and Iliyas making thread for Kite,103.0,0.0,0.0,103.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,2,00:06:35 to 00:07:09 Deleted visual of Kaki kissing Dighy on his chick.,34.0,0.0,0.0,34.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,3,Deleted visual of Dighy Stabbing Gupta.,9.0,0.0,0.0,9.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,4,00:08:00 to 00:08:42 Deleted visual of Shirya Supriyas sexy talks.,42.0,0.0,0.0,42.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,5,00:09:55 to 00:11:13 Deleted visual of Dighy asking Shirya Supriya to undress and killing them.,78.0,0.0,0.0,78.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,6,00:31:40 to 00:35:45 Deleted visual of Dighy and Iliyas watching Shirya Supriya having sex and Shirya beating and abusing them after,245.0,0.0,0.0,245.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,7,00:38:35 to 00:38:44 Deleted visual of Dighy and Iliyas talking about how to use knife.,9.0,0.0,0.0,9.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,8,00:38:45 to 00:41:55 Added song,0.0,0.0,190.0,190.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,9,01:09:10 to 01:10:21 Deleted visual of Kaka and Kaki beating and abusing Dighya for Using toy car of Akshay.,11.0,0.0,0.0,11.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,10,01:12:20 to 01:13:37 Deleted visual of Iliyas Killing Akshay and Dighya Killing His uncle.,67.0,0.0,0.0,67.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,11,00:52:55 to 00:54:22 Deleted visual of Dighy giving massage to Kaaki,87.0,0.0,0.0,87.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,12,00:57:00 to 00:58:45 Deleted visual of Kaki giving Dighy leg massage and vulgar Dialogues of Dighy Iliyas,105.0,0.0,0.0,105.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,13,01:19:10 to 01:19:38 Deleted visual of Kaki hugging Dighy.,28.0,0.0,0.0,28.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,14,01:28:10 to 01:29:44 Deleted visual of Gavde Killing Bhaktya and Dighy killing Gavde.,94.0,0.0,0.0,94.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,15,01:32:25 to 01:32:37 Deleted visual of Dighy doing bad gesture towards Malu.,12.0,0.0,0.0,12.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,16,"01:36:30 to 01:39:11 Deleted visual of Dighy explaining how he killed everyone, Babi walking towards Ilyas who is watching Dighya having sex with Malu and masturbating",161.0,0.0,0.0,161.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,17,01:42:34 to 01:42:44 Deleted visual of Dighy and Malus sexy talk,10.0,0.0,0.0,10.0
100010842200006898,NH STUDIOZ LLP - MUMBAI,18,"01:42:55 to 01:44:55 Deleted visual of end scenes in which dead bodies of Dighya, Iliyas Malu are lying on the floor, villagers gathered for last Rituls of the dead bodies.",120.0,0.0,0.0,120.0
100010842200012356,OPERATION FRYDAY,1,Muted the word Bhenchod and blurred in the English subtitles at TCR: 04.02  20.37  53.12  01.56.06,0.0,0.0,0.0,0.0
100010842200012356,OPERATION FRYDAY,2,Muted the word  Bhenchod  and blurred in the English subtitles at TCR: 25.20 (Maadhar chod not used),0.0,0.0,0.0,0.0
100010842200012356,OPERATION FRYDAY,3,Reduced the scene of Ghulam holding the blood bowl. Reduce the overall scene by 50. 01.58.56 to 01.59.06  01.59.33 to 01.59.36  01.59.40 to 01.59.43,17.0,0.0,0.0,17.0
100010842200012356,OPERATION FRYDAY,4,Inserted drug disclaimer in Hindi Consumption of drugs is injurious to health. नशल पदरथ क सवन सवसथय क लए हनकरक ह,0.0,0.0,0.0,0.0
100010842200012356,OPERATION FRYDAY,5,Inserted credit titles in the language (Hindi) beginning and end of the film.,0.0,0.0,0.0,0.0
100010842200012356,OPERATION FRYDAY,6,Islamic chants - translation of the content in Hindi at TCR: 01.43.12  01.43.20 - 01.43.21 01.43.38,0.0,0.0,0.0,0.0
100010842200011539,SHRI K. KRISHAN MOHAN RAO,1,Deleted the visuals of Song 1 00.05.41 to 00.10.32,294.0,0.0,0.0,294.0
100010842200011539,SHRI K. KRISHAN MOHAN RAO,2,Deleted the visuals of Song 2 00.19.00 to 00.21.33,153.0,0.0,0.0,153.0
100010842200011539,SHRI K. KRISHAN MOHAN RAO,3,Deleted the visuals of Song 3 00.29.58 to 00.34.48,289.0,0.0,0.0,289.0
100010842200011539,SHRI K. KRISHAN MOHAN RAO,4,Deleted the visuals of Song 4 00.55.33 to 01.57.33,119.0,0.0,0.0,119.0
100010842200011539,SHRI K. KRISHAN MOHAN RAO,5,Deleted the visuals of Song 5 01.13.40 to 01.18.23,283.0,0.0,0.0,283.0
100010842200011539,SHRI K. KRISHAN MOHAN RAO,6,Deleted the visuals of Song 6 01.22.23 to 01.26.24,241.0,0.0,0.0,241.0
100010842200011539,SHRI K. KRISHAN MOHAN RAO,7,Deleted the visuals of Song 7 01.41.36 to 01.45.41,244.0,0.0,0.0,244.0
100010842200008918,ARDHANAARI,1,Deleted the visual of Head scene at TCR -00:07:18 to 00:07:23,5.0,0.0,0.0,5.0
100010842200008918,ARDHANAARI,2,Deleted the Visual of Man Neck cutting scene at TCR-00:25:15 to 00:25:40,25.0,0.0,0.0,25.0
100010842200008918,ARDHANAARI,3,Deleted the Visual of Lady Neck cutting scene at TCR-00:26:27 to 00:26:34,7.0,0.0,0.0,7.0
100010842200008918,ARDHANAARI,4,Deleted the visual of Double menaing dialogue at TCR-00:39:25 to 00:39:37,12.0,0.0,0.0,12.0
100010842200008918,ARDHANAARI,5,Deleted the visual of Killing of Man by hitting his head against the nail at TCR-00:41:27 to 00:41:40,13.0,0.0,0.0,13.0
100010842200008918,ARDHANAARI,6,Deleted the visual of Truck pour the dead bodies to road at TCR- 00:53:21 to 00:53:24,3.0,0.0,0.0,3.0
100010842200008918,ARDHANAARI,7,Deleted the visual of Blood in Auto Rickshaw at TCR-00:55:32 to 00:55:37,5.0,0.0,0.0,5.0
