id,movie_name,language
100070292400000205,"""YAMANIGE GANDA""",Kannada
100030292500000530,YAMAN KATTALAI,Tamil
100010291900003627,YAMAN,Hindi
100070292400000666,YAMA KANTHRI,Telugu
100010292100004369,BECKY,English
100020292400000482,YALAKUNNI,Kannada
100030292200000689,YAKKAI THIRI,Tamil
100010292000003040,YAJAMANA,Hindi
100010291900014299,YAHAN SABHI GYANI HAIN,Hindi
100080291900000126,YAH MULK HAMARA,Bhojpuri
100010292100004933,YAGNAM,Bhojpuri
100070292400000681,"""YAGNA""",Telugu
100010292100005346,YADNYA,Marathi
100020292300000201,YADHA YADHA HI,Kannada
100020292100000401,YADBHAVAM THADBHAVATHI,Kannada
100010291800008266,YADAV PAN BHANDAR,Bhojpuri
100020291900000109,YADA YADA HI DHARMASYA,KANNADA (WITH ENGLISH SUBTITLE)
100030292300001331,YAAVARUM VALLAVARE,Tamil
100030292300000408,YAATHISAI,Tamil
100030292200002951,YAARUDA NEENGA,Tamil
100020292200000215,YAARU YAARU NEE YAARU,Kannada
100010291900012791,YAARON WE ARE THE BEST,Hindi
100030292100001938,YAARO.,Tamil
100010292000004770,YAARIYAAN,Tamil
100010292300002608,YAARAN DA RUTBAA,Punjabi
100030292100000562,YAARADI NEE MOHINI,Malayalam
100010291900003667,YAARA VE,Punjabi
100010291900014284,YAARA TERI YAARI,Bhojpuri
100010291900001638,YAAR MERE BADE KAMINEY,Hindi
100030291800000792,YAAR IVARGAL,Tamil
100030291700000217,YAAR IVAN,Tamil
100010291800014015,YAAR BELLY,Punjabi
100030291800000422,YAAR ANDHA KARUPPU AADU,Tamil
100030291800001269,YAAR,Tamil
100030292300000536,YAANAI MUGATHAAN,Tamil
100030292400001773,YAANAI,Malayalam
100030292200001196,YAANAI,Tamil
100090292100000119,YAAN,Malayalam
100030292500000557,YAAMAN,Tamil
100030291800001449,YAAGAN.,Tamil
100030291800000327,"""YAAGAM""",Tamil
100020292400000696,YAAGA,Kannada
100030292200000080,YAADHUM OORE YAAVARUM KELIR,Tamil
100010292200003009,THE SUCCESSFUL LOOSERS,Hindi
100010291800007238,SORRY,Marathi
100010291900012581,BAYKO DETA KA BAYKO,Marathi
100010291900007124,GAME OVER,Hindi
100020292000000412,ACHARYA SRI SHANKARA,Kannada with English Subtitles
100010292400003937,VITTHALA TUCH,Marathi
100080291800000176,MAAN-HNUSH,Bengali
100010292400007938,"""Y""",Hindi
100010291900015190,"""Y""",Marathi with English Subtitle
100030291900001574,ARCTIC,English
100030292400002512,XTREME,Tamil
100010292300003530,SHE WANG AKA KING OF SNAKE,Hindi
100010292400004306,XC,Hindi
100010291900008170,X-MEN: DAYS OF FUTURE PAST,Hindi
100010291800000700,X ZONE,Hindi
100020291900000695,"WWW.MEENABAZAAR.,",Kannada with English Subtitles
100070291900000645,"""WWW.MEENABAZAAR.,""",Telugu with English Subtitles
100010292200000969,INTERROGATION (DUBBED),Hindi
100040292100000102,WUHAN RU ODISHA,Odia
100010291800000424,WU KONG,Hindi
100010291800015001,NIGHT FARE,Hindi
100030292300002537,PLAN B (DUBBED),Tamil
100040292000000110,WRONG TURN,Tamil
100010292000001486,WRONG TURN,English
100010292500001828,WRONG PLACE,English
100010292100005540,WRONG LEELA,Hindi
100070292200000504,WRITER,Telugu
100030292100001312,WRITER,Tamil
100010292200009799,WRATH OF MAN.,English
100010292100002125,WRATH OF MAN,English
100020292200000346,WOW.,Kannada
100080291800000230,SILENT SIGNATURE,Bengali
100010292300007620,"""DISHA SAPNA""",Hindi
100020292200000061,WOW,Kannada
100010291900002444,FIGHT TO THE FINISH,Telugu
100010292400004538,JAYA,Bhojpuri
100010292300008152,SANGHARSH 2,Bhojpuri
100010292300000481,TUN TUN,Bhojpuri
100010292300000437,KALAKAND,Bhojpuri
100010292100007126,BABUL,HINDI PARTLY BHOJPURI
100010292100006004,SAAS NANAD BHAUJAI 2,Bhojpuri
100010292100005599,BANSI BIRJU,Bhojpuri
100010292100005242,VIJETA,Bhojpuri
100010292100003663,NAKLI NAWAB,Bhojpuri
100010292000002561,PAWAN PUTRA,Bhojpuri
100010291900009203,LALLU KI LAILA,Bhojpuri
100010291900003437,SHER E HINDUSTAN,Bhojpuri
100010291800009117,SANGHARSH,Bhojpuri
100010291800009309,VEERO KE VEER,Bhojpuri
100010292400008239,RED GHOST  (DUBBED),Tamil
100010292400008906,PARANORMAL DRIVE (DUBBED),Tamil
100040292100000056,WORLD FAMOUS LOVER,Bengali
100040292100000008,WORLD FAMOUS LOVER,Hindi
100010292100004320,RADIOACTIVE,English
100010291900007027,WOODSHOCK,English
100010291900011642,WONDER WOMAN: BLOODLINES,English with English Subtitles
100010292200007756,WONDER WOMAN,Bengali
100090292300000024,WOLF,Tamil
100050291900000966,WOH EK DIN,Hindi
100010291900002004,WOH DEEWANA KAR GAYI,Hindi
100010292400002546,WOH BHI DIN THE,Hindi
100010292400009200,WOH BAN GAYA KILLER 2,Hindi
100030292000000780,"""W/O.RANASINGAM""",Kannada
100030292000000763,W/O.RANASINGAM,Telugu
100070291800000453,"""W/O RAM""",Telugu
100010291900008353,WO DO BAAZ,Hindi
100070292500000158,"""W/O ANIRVESH""",Telugu
100010292100000106,PREETAM,Marathi with English Subtitle
100030291800000484,WITNESS    (REVISED),Tamil
100030292100002128,WITNESS,Tamil
100010291900014292,WITHOUT A PADDLE,Hindi
100010292000006080,WITHIN THESE WALLS,English with English Subtitles
100090292300000193,WITHIN SECONDS,Malayalam
100010291800003566,WITHIN,English
100010292200000770,WISH UPON A UNICORN,English
100010291800011554,WINTER PASSING,English
100010291800006123,WINTER,English
100010292100003347,"""MY FATHER IS HERO""",Telugu
100010292100002779,"""MY FATHER IS HERO""",Tamil
100030292000001070,WINDOW SEAT,TAMIL WITH ENGLISH SUBTITLES
100010291800004324,WILSON,English
100010291900004127,WILD LIFE,English
100010291900008061,FIRE FLIES,HINGLISH
100010292100002135,WILD MOUNTAIN THYME,English
100010291900002762,WILD THINGS 2,Hindi
100010291900005839,WILD FOR THE NIGHT,English with English Subtitles
100070292100000535,"""WILD DOG""",TAMIL WITH ENGLISH SUBTITLES
100010292100007178,MY SON,English
100010292200002293,CITY OF GOD,PORTUGAL WITH ENGLISH SUBTITLES
100010292000002254,LES MISERABLES,French with English Subtitles
100010291900003731,YOMEDDINE,ARABIC WITH ENGLISH SUBTITLES
100010291800010647,"""LE REDOUTABLE""",FRENCH WITH ENGLISH SUBTITLES
100040292400000088,WIFE,Odia
100010292200005639,WIDOWS.,English
100010292500001177,WIDOWS SHADOW,Hindi
100010292000001973,WIDOWS,English with English Subtitles
100010291800014144,WIDOWS,English
100010292300005012,BADNAAM BAADSHAH,Bengali
100010292400003322,JANTA KA RAKHWALA,Bhojpuri
