id,certificate_id,movie_name,language,duration_secs,description,cleaned_description,cut_no,deleted_secs,replaced_secs,inserted_secs,total_modified_time_secs,cert_date,cert_no,applicant,certifier,rating,cbfc_file_no
100030291700000828,100030101700001077,CHENNAI 2 SINGAPORE,Tamil,7450.0,RemoveReplace the visuals of hittingkicking on the private part. (Shot 290),,4,1.0,1.0,0.0,2.0,,DIL1372017-Che,MOHAMAADGHIBRAN GHANESHBALAJI - CHENNAI(COMICBOOK FILMS),"M M Mathialagen, RO, CBFC, Chennai",U,1A030911201700106
100030291700000828,100030101700001077,CHENNAI 2 SINGAPORE,Tamil,7450.0,"In Song No.2 Nenjukkullaara, RemoveReplace the visuals of lady smoking pipecigarette, appearing at three places. (Shot 94)",,3,5.0,5.0,0.0,10.0,,DIL1372017-Che,MOHAMAADGHIBRAN GHANESHBALAJI - CHENNAI(COMICBOOK FILMS),"M M Mathialagen, RO, CBFC, Chennai",U,1A030911201700106
100030291700000828,100030101700001077,CHENNAI 2 SINGAPORE,Tamil,7450.0,MuteReplace the audio Saami yezhudhinadhudhaan. (Shot 37),,2,0.0,0.0,0.0,0.0,,DIL1372017-Che,MOHAMAADGHIBRAN GHANESHBALAJI - CHENNAI(COMICBOOK FILMS),"M M Mathialagen, RO, CBFC, Chennai",U,1A030911201700106
100030291700000828,100030101700001077,CHENNAI 2 SINGAPORE,Tamil,7450.0,"Disclaimers are to be kept as per norms, wherever it requires and legible to read.",,1,20.0,20.0,0.0,40.0,,DIL1372017-Che,MOHAMAADGHIBRAN GHANESHBALAJI - CHENNAI(COMICBOOK FILMS),"M M Mathialagen, RO, CBFC, Chennai",U,1A030911201700106
100080291700000116,100080101700000196,CHAWLOCHITRA CIRCUS,Bengali,7445.0,MuteReplace the word Sunny.,,1,0.0,0.0,0.0,0.0,2017-09-25,DIL2282017-KOL,"qr-redirect-endorsment  width: 98; float: left; padding: 1;  .endorsementHeading  width: 100; float: left; text-align: center; background: 555; color: fff; font-weight: bold; padding: 6px 0; margin-top: 10px; border-radius: 3px;  qr-redirect-endorsment div  width: 100; float: left; margin: 5px 0;  qr-redirect-endorsment table, qr-redirect-endorsment td, qr-redirect-endorsment th  border: 1px solid 888; text-align: left;  qr-redirect-endorsment table  border-collapse: collapse; width: 100;  qr-redirect-endorsment th, qr-redirect-endorsment td  padding: 5px; font-size: 12px;  EndorsementFile No. : 1A081709201700140Film Name : CHAWLOCHITRA CIRCUS (BENGALI) (Color) (2-D)Applied Running Time : 124.05 MM.SS Cert No. DIL2282017-KOL Dated 25092017Insertions  Excisions Modifications carried out by the applicant to comply with the law in force Duration (MM.SS)Cut No.DescriptionDeletedReplacedInserted1MuteReplace the word Sunny.00.0000.0000.00Total : 00.0000.0000.00Actual Duration of the film after the aforesaid deletions and replacements will be 124.05 MM.SS in 1 cassette(s).","AJAY MHAMIA, RO, CBFC, Kolkata",UA,1A081709201700140
100020291700000479,100020101700000693,CANDYFLIP,Hindi,6261.0,"Insert disclaimer against drugs at 29:39, 34:31 to 34:34 and wherever applicable that use of drugspsychotropic drugs is injurious to health and is an offence under Narcotics and Psychotropic drugs act, 1985 for 30 secs or for duration of the scene",,2,0.0,0.0,0.0,0.0,2017-11-21,DIL3372017-BAN,DN SREENIVASAPPA (E.O.),"DN SREENIVASAPPA, RO, CBFC, Bangalore",A,1A022510201701046
100020291700000479,100020101700000693,CANDYFLIP,Hindi,6261.0,The dialogue bloody Russian at 30 mins 39 secs should be muted.,,1,0.0,0.0,0.0,0.0,2017-11-21,DIL3372017-BAN,DN SREENIVASAPPA (E.O.),"DN SREENIVASAPPA, RO, CBFC, Bangalore",A,1A022510201701046
100020291700000289,100020101700000416,HAALU THUPPA,Kannada,7690.0,The dialogue Nimma ajji pukli from 01 hrs 48 mins 32 secs to 01 hrs 48 mins 3 secs should be mutetd,,2,0.0,0.0,0.0,0.0,2017-09-13,DIL3192017-BAN,DN SREENIVASAPPA (E.O.),"DN SREENIVASAPPA, RO, CBFC, Bangalore",A,1A020608201700033
100020291700000289,100020101700000416,HAALU THUPPA,Kannada,7690.0,The name Modi at 52 mins 44 secs should be muted,,1,0.0,0.0,0.0,0.0,2017-09-13,DIL3192017-BAN,DN SREENIVASAPPA (E.O.),"DN SREENIVASAPPA, RO, CBFC, Bangalore",A,1A020608201700033
100070291700000399,100070101700000637,SHAADI EXPRESS,Urdu,6757.0,Delete the visual where cleavage of woman is shown.,,1,0.0,0.0,0.0,0.0,,DIL2592017-HYD,Sanjai Jaiswal (E.O.),"Anurag Srivastava, CEO, CBFC, Mumbai",UA,1A072109201700025
