certificate_id,film_name,film_name_full,language,duration_secs,description,cleaned_description,cut_no,deleted_secs,replaced_secs,inserted_secs,total_modified_time_secs,cert_date,cert_no,applicant,certifier,rating,cbfc_file_no
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),Telugu,9083.0,ExciseMute the word Madarchod along with subtitle text at 1.58.10 (muted with change in subtitle text),,13,0.0,0.0,0.0,0.0,2025-01-31,DIL692025-HYD,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad",UA 13+,CA072201202500043
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),Telugu,9083.0,Excisemodify the dialogue Intha emergency... to... Okari Valle avthundi at Sc no.67 (modified),,14,8.0,0.0,0.0,8.0,2025-01-31,DIL692025-HYD,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad",UA 13+,CA072201202500043
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),Telugu,9083.0,Submit script with changes including subtitles. (highlight the changes) (submitted),,15,0.0,0.0,0.0,0.0,2025-01-31,DIL692025-HYD,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad",UA 13+,CA072201202500043
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),Telugu,9083.0,Insert rolling titles and end credits as per script. (inserted),,16,0.0,0.0,0.0,0.0,2025-01-31,DIL692025-HYD,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad",UA 13+,CA072201202500043
100010842400007796,EL GALLO,EL GALLO (DUBBED) (TAMIL) (Color) (2-D),Dubbed,4520.0,Replaced old health spot with new anti-smokinganti-tobacco health spots in Tamil in the beginning of the film.,,1,0.0,0.0,0.0,0.0,2025-01-30,VFL7212025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 16+,CA011210202400110
100010842400007796,EL GALLO,EL GALLO (DUBBED) (TAMIL) (Color) (2-D),Dubbed,4520.0,Inserted anti-smokinganti-tobacco health spots in Tamil in the middle of the film.,,2,0.0,60.0,0.0,60.0,2025-01-30,VFL7212025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 16+,CA011210202400110
100010842400007796,EL GALLO,EL GALLO (DUBBED) (TAMIL) (Color) (2-D),Dubbed,4520.0,Inserted anti-drug disclaimer in Tamil in the beginning of the film.,,3,0.0,10.0,0.0,10.0,2025-01-30,VFL7212025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 16+,CA011210202400110
100010842400007796,EL GALLO,EL GALLO (DUBBED) (TAMIL) (Color) (2-D),Dubbed,4520.0,Superimposed anti-smoking static message in Tamil at TCR-00:06:47:00,,4,0.0,0.0,0.0,0.0,2025-01-30,VFL7212025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 16+,CA011210202400110
100010842400007796,EL GALLO,EL GALLO (DUBBED) (TAMIL) (Color) (2-D),Dubbed,4520.0,Provided Title and Credits in Tamil,,5,0.0,0.0,0.0,0.0,2025-01-30,VFL7212025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 16+,CA011210202400110
100010842400007796,EL GALLO,EL GALLO (DUBBED) (TAMIL) (Color) (2-D),Dubbed,4520.0,Blurred liquor brand labels,,6,0.0,0.0,0.0,0.0,2025-01-30,VFL7212025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 16+,CA011210202400110
100010842400007796,EL GALLO,EL GALLO (DUBBED) (TAMIL) (Color) (2-D),Dubbed,4520.0,Replaced blank space at the end with end credits TCR-01:11:04:00 to 01:13:00:00,,7,0.0,0.0,0.0,0.0,2025-01-30,VFL7212025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 16+,CA011210202400110
100010842400008277,SWORD OF THE ASSASSIN,SWORD OF THE ASSASSIN (TAMIL) (Color) (2-D),Tamil,6033.0,Inserted disclaimer in Tamil for dangerous action content,,1,0.0,10.0,0.0,10.0,2025-01-30,VFL6242025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 13+,CA012610202400152
100010842400008277,SWORD OF THE ASSASSIN,SWORD OF THE ASSASSIN (TAMIL) (Color) (2-D),Tamil,6033.0,Corrected English Title at TCR-00:04:35:00,,2,0.0,0.0,0.0,0.0,2025-01-30,VFL6242025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 13+,CA012610202400152
100010842400008972,HITLER,HITLER (HINDI) (Color) (2-D),Hindi,5745.0,Deleted the visuals of Song 1 00.37.07 to 00.40.34,,1,208.0,0.0,0.0,208.0,2025-01-30,VIL782025-BAN,N LOHITH - HASSAN(MS GAANASHIVA MOVIES),"YASHWANT SHEHNAI, RO, CBFC, Bangalore",UA 16+,CA012011202400200
100010842400008972,HITLER,HITLER (HINDI) (Color) (2-D),Hindi,5745.0,Deleted the visuals of Song 2 00.44.36 to 00.47.37,,2,180.0,0.0,0.0,180.0,2025-01-30,VIL782025-BAN,N LOHITH - HASSAN(MS GAANASHIVA MOVIES),"YASHWANT SHEHNAI, RO, CBFC, Bangalore",UA 16+,CA012011202400200
100010842400008972,HITLER,HITLER (HINDI) (Color) (2-D),Hindi,5745.0,Deleted the visuals of Song 3 01.10.29 to 01.13.54,,3,205.0,0.0,0.0,205.0,2025-01-30,VIL782025-BAN,N LOHITH - HASSAN(MS GAANASHIVA MOVIES),"YASHWANT SHEHNAI, RO, CBFC, Bangalore",UA 16+,CA012011202400200
100030842400002648,KTM,KTM (TAMIL) (Color) (2-D),Tamil,8989.0,Insert PSA films full screen in the beginning and after the interval - MODIFIED,,1,0.0,0.0,0.0,0.0,2025-01-30,VIL772025-BAN,Vinay Kumar H - Bengaluru Urban (Ms Mahasimha Movies),"YASHWANT SHEHNAI, RO, CBFC, Bangalore",UA 16+,CA021411202400013
100030842400002648,KTM,KTM (TAMIL) (Color) (2-D),Tamil,8989.0,Mute the word loafer and delete in subtitles at 28:06 - MUTED,,2,0.0,0.0,0.0,0.0,2025-01-30,VIL772025-BAN,Vinay Kumar H - Bengaluru Urban (Ms Mahasimha Movies),"YASHWANT SHEHNAI, RO, CBFC, Bangalore",UA 16+,CA021411202400013
100030842400002648,KTM,KTM (TAMIL) (Color) (2-D),Tamil,8989.0,Insert drinks statutory warning card in the language of the film at 1:30:11 - INSERTED,,3,0.0,0.0,0.0,0.0,2025-01-30,VIL772025-BAN,Vinay Kumar H - Bengaluru Urban (Ms Mahasimha Movies),"YASHWANT SHEHNAI, RO, CBFC, Bangalore",UA 16+,CA021411202400013
100030842400002648,KTM,KTM (TAMIL) (Color) (2-D),Tamil,8989.0,"submit NOC from AWBI or delete animal shots at 2:00:27, 2:17:37, 2:19:53 - SUBMITTED",,4,0.0,0.0,0.0,0.0,2025-01-30,VIL772025-BAN,Vinay Kumar H - Bengaluru Urban (Ms Mahasimha Movies),"YASHWANT SHEHNAI, RO, CBFC, Bangalore",UA 16+,CA021411202400013
