Film Name,Year,URL
"""PRABHAS S THE RAJASAAB""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=MDMwNzAzMDEyMDI2MDAwMzQ=
"""PRABHAS S THE RAJASAAB""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=MDMwNzAzMDEyMDI2MDAwNDU=
"""PRABHAS S THE RAJASAAB""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzI0MTIyMDI1MDAwNTE=
"""PRABHAS S THE RAJASAAB""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzI1MTIyMDI1MDAwMTU=
"""PRABHAS S THE RAJASAAB""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzI1MTIyMDI1MDAwMjY=
"""PRABHAS S THE RAJASAAB""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzI1MTIyMDI1MDAwNDE=
"""PREMANTE ? (THRILLU PRAPTIRASTHU)""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA2MTIyMDI1MDAxMjY=
"""SAMPRADAYANI SUPPINI SUDHAPOOSANI""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=MDMwNzI0MDIyMDI2MDAwMTY=
"""SATHI LEELAVATHI""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA4MTAyMDI1MDAwNDA=
"""SEETHA PAYANAM""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA2MDIyMDI2MDAwMTQ=
"""SEETHA PAYANAM""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA2MDIyMDI2MDAwMjU=
"""SEETHA PAYANAM""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA2MDIyMDI2MDAwMzY=
"""SHIRCHHED PREMACHA""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=MDMwMTA4MTAyMDI1MDAwMTA=
"""SKY""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzAzMTIyMDI1MDAwMTE=
"""SOLO BOY""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzExMTIyMDI1MDAxMDA=
"""SON OF""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzI5MTIyMDI1MDAwMjM=
"""SUNDARAKANDA""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzExMTAyMDI1MDAwMTU=
"""SUNDARAKANDA""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzExMTAyMDI1MDAwMjY=
"""SUNDARAKANDA""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzExMTAyMDI1MDAwMzA=
"""SUNDARAKANDA""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzExMTAyMDI1MDAwNDE=
"""TEASER OF ""HEY BALWANTH""(TELUGU)",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzAxMDIyMDI2MDAwMjA=
"""THANK YOU DEAR""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA4MTIyMDI1MDAwMjA=
"""THE GREAT PRE WEDDING SHOW""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzAyMDIyMDI2MDAwNjU=
"""THE GREAT PRE WEDDING SHOW""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzAzMDIyMDI2MDAwMTE=
"""THE GREAT PRE WEDDING SHOW""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzAzMDIyMDI2MDAwMjI=
"""VANAVEERA""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzI3MDEyMDI2MDAwMjA=
"""VANAVEERA""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzI3MDEyMDI2MDAwMzE=
"""VASUDHEVA SUTHAM""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzAxMDgyMDI1MDAwMTQ=
"""VIDHAATA(KARMANYE VADHIKARASTE MAPHALESHU  KADACHANA)""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA4MDIyMDI2MDAwMzE=
"""VISHNU VINYASAM""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzE1MDIyMDI2MDAwMTQ=
*STAR,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMjAyMTIyMDI1MDAwMjM=
1+1 OFFER,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA5MTEyMDI1MDAwMTY=
1000 KM,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNTEyMDgyMDI1MDAwMTQ=
12 STRONG,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTMwMTAyMDI1MDAyMjM=
1942 A LOVE STORY - SONG - EK LADKI KO DEKHA TOH AISA LAGA,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTE3MDEyMDI2MDAxMzI=
2 WAY,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNTE1MTIyMDI1MDAwMzQ=
28 YEARS LATER THE BONE TEMPLE,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTA3MDEyMDI2MDAwMTU=
28 YEARS LATER THE BONE TEMPLE,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTE4MTIyMDI1MDAwMjI=
28°C,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzEwMTIyMDI1MDAwMjA=
29 - SEELAY SEELAY LYRICAL VIDEO SONG,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzE4MDIyMDI2MDAxNzM=
4 IDIOTS - DIGITAL TRAILER 2,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzExMDIyMDI2MDAwMTM=
4 IDIOTS - VIDEO TRAILER,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzExMDIyMDI2MDAwMjQ=
4TH FLOOR,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzI3MDEyMDI2MDAwNDU=
5-7 KILLE,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNTE2MDEyMDI2MDAwMzQ=
A HAUNTING LOVE STORY,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTEwMDEyMDI2MDAwNzU=
"A KNIGHT""S WAR",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTA2MDMyMDI1MDAwNzQ=
A R C KAMATCHI JEWELS,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzIyMDEyMDI2MDAwMTQ=
A.V.K PATHIRA MALIGAI,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzAyMDEyMDI2MDAwODI=
AA GANG 3,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzMwMDgyMDI1MDAwMzE=
AADU 3 (TRAILER),2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwOTIzMDIyMDI2MDAwMTU=
AAFAA,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNDE1MTIyMDI1MDAwMTE=
AAHLADAM,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwOTIyMTIyMDI1MDAwMzY=
AALI,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzMxMTIyMDI1MDAwNTI=
AAMCHYA NADALA LAGNYA ADHI,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTI0MDEyMDI2MDAxNTI=
AANANDHA THAANDAVAM,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzEzMDIyMDI2MDAwNzQ=
AANPAAVAM POLLATHATHU,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzI4MDEyMDI2MDAwNDY=
AANPAAVAM POLLATHATHU,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzI4MDEyMDI2MDAwNTA=
AANPAAVAM POLLATHATHU,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzI4MDEyMDI2MDAwNjE=
AANPAAVAM POLLATHATHU,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzI4MDEyMDI2MDAwNzI=
